n,MAE,RMSE,MAPE,Directional_Accuracy,R2,model,horizon
5735,0.005291997647909958,0.007841257270365201,80884.75139037395,48.31734960767219,-0.001476751019924949,arima,1H
5568,0.07949567384598921,0.10804770393178396,16005.44805286744,47.5933908045977,-0.026383374011160532,arima,1W
4992,0.16616832891853542,0.22940946056820305,12046.039246383669,46.193910256410255,-0.23536823122258488,arima,1M
5735,0.005454831631390061,0.008054602701642334,401707.32700105367,48.96251089799477,-0.056714610472738736,lgbm,1H
5568,0.15335195879303187,0.1970398208777767,5612961.916248753,45.42025862068966,-2.413394873001939,lgbm,1W
4992,0.3533148620664727,0.39647757133085604,4832994.374193462,44.41105769230769,-2.689869699320054,lgbm,1M
4824,0.007684412436433606,0.010281685821120755,1943110.7903221594,47.67827529021559,-0.8436360204996214,resnet,1H
4824,0.0756264973676098,0.10251397868022083,1593063.6862815374,57.98092868988392,-0.06131585793223504,resnet,1W
4824,0.16943569785652832,0.2266154870564045,1156188.807214614,53.15091210613598,-0.22579550673910975,resnet,1M
5735,0.005313288210540295,0.007863664931453377,174063.01050268425,49.20662598081953,-0.007208692949293161,fusion,1H
5568,0.11379463216042145,0.14160706411034318,2005469.6145983185,44.98922413793103,-0.7629839614836156,fusion,1W
4992,0.2363016507580807,0.2649991797071038,3793726.695538238,59.375,-0.6484008909505314,fusion,1M
5735,0.005567085640671109,0.008201128131961756,556086.3626822334,49.41586748038361,-0.09551079088991354,ae_lgbm,1H
5568,0.12941483028435613,0.1636660169306092,4336433.38279219,48.814655172413794,-1.3550251550853716,ae_lgbm,1W
4992,0.17353872345293775,0.22653286020621458,934629.2153848875,65.14423076923077,-0.20458152570071442,ae_lgbm,1M
5735,0.005281584209431233,0.007835859975443196,96.512641673932,3.4873583260680032,-9.85523662913046e-05,naive,1H
5568,0.0795589270089236,0.10807958270147272,99.74856321839081,0.2514367816091954,-0.026989118786646005,naive,1W
4992,0.16623973117164956,0.22945109306686184,99.83974358974359,0.16025641025641024,-0.23581665329647405,naive,1M
