timestamp,AE_z_001,AE_z_002,AE_z_003,AE_z_004,AE_z_005,AE_z_006,AE_z_007,AE_z_008,AE_z_009,AE_z_010,AE_z_011,AE_z_012,AE_z_013,AE_z_014,AE_z_015,AE_z_016,AE_z_017,AE_z_018,AE_z_019,AE_z_020,AE_z_021,AE_z_022,AE_z_023,AE_z_024,AE_z_025,AE_z_026,AE_z_027,AE_z_028,AE_z_029,AE_z_030,AE_z_031,AE_z_032,AE_z_033,AE_z_034,AE_z_035,AE_z_036,AE_z_037,AE_z_038,AE_z_039,AE_z_040,AE_z_041,AE_z_042,AE_z_043,AE_z_044,AE_z_045,AE_z_046,AE_z_047,AE_z_048,AE_z_049,AE_z_050,AE_z_051,AE_z_052,AE_z_053,AE_z_054,AE_z_055,AE_z_056,AE_z_057,AE_z_058,AE_z_059,AE_z_060,AE_z_061,AE_z_062,AE_z_063,AE_z_064
2022-09-03 00:00:00+00:00,0.20724939,-0.08539316,0.11112623,0.20509352,-0.18006304,-0.027585894,-0.08947827,-0.13474289,0.070322335,0.15584108,-0.22930676,0.17881139,-0.11957838,0.059582938,-0.015342159,0.08210731,0.095668994,0.16954675,0.21262982,0.113211356,0.0549568,-0.12241213,0.06238646,-0.0065177623,-0.070513695,-0.03752634,0.089320175,-0.107689016,0.008214634,-0.034545664,0.04663966,0.05330258,0.00817227,0.033652484,-0.100669876,0.0028758124,-0.10910406,-0.32825875,-0.24287733,-0.2773994,-0.1975793,0.071298435,-0.2897333,0.116380915,-0.11785663,-0.1417034,-0.028061662,-0.054847747,-0.05029823,0.1903013,0.08306819,0.084731594,-0.33947298,0.26257822,-0.1713194,0.13366428,0.083747655,-0.14092,0.055899538,-0.117367975,-0.20255806,0.14971358,-0.02803733,-0.05342766
2022-09-03 01:00:00+00:00,0.20792125,-0.083206765,0.110169366,0.20294541,-0.18037385,-0.028367981,-0.089386836,-0.13578632,0.07287968,0.1541437,-0.23052883,0.17801262,-0.12091544,0.061269064,-0.017007986,0.0864037,0.09708428,0.17232451,0.21286292,0.113432445,0.05424325,-0.122589305,0.062882744,-0.005102897,-0.07365966,-0.03909388,0.08933734,-0.107944444,0.008292213,-0.033366308,0.045673817,0.052103944,0.007572945,0.03334602,-0.101242304,0.0020519346,-0.10994052,-0.33038136,-0.24220176,-0.27730876,-0.19995941,0.071894504,-0.28883594,0.11470187,-0.11626635,-0.13981992,-0.026816968,-0.0547828,-0.05292178,0.19047578,0.08336215,0.08536208,-0.3395723,0.26305404,-0.17018136,0.13531555,0.08244108,-0.14107692,0.05705544,-0.118908085,-0.20375957,0.14977361,-0.029233316,-0.052171208
2022-09-03 02:00:00+00:00,0.20830394,-0.08147985,0.109300695,0.20112269,-0.18052371,-0.028865933,-0.089143604,-0.13678002,0.07489441,0.1527864,-0.23149604,0.17718093,-0.12191312,0.06253335,-0.018393846,0.08966666,0.09819632,0.17469892,0.21299894,0.113428205,0.0537399,-0.12273328,0.0630816,-0.0040575843,-0.07636307,-0.040105313,0.08927647,-0.1080919,0.008086022,-0.03243867,0.044689976,0.051451407,0.007143341,0.033005223,-0.10162285,0.0014219657,-0.1107538,-0.33213717,-0.24161947,-0.27707493,-0.20180155,0.07241713,-0.28806746,0.11329739,-0.115007475,-0.13813205,-0.025575224,-0.05476874,-0.054972302,0.19057503,0.08350699,0.08574502,-0.33940083,0.26349568,-0.16945758,0.13647902,0.08103131,-0.14118782,0.057834454,-0.12013574,-0.20451768,0.14968848,-0.030116519,-0.05106806
2022-09-03 03:00:00+00:00,0.20922755,-0.07952295,0.10802342,0.20070072,-0.18022355,-0.02940017,-0.088899165,-0.13807397,0.07713069,0.15289615,-0.23163557,0.17659335,-0.12308343,0.06368825,-0.019808883,0.09065517,0.09796005,0.17628434,0.21277349,0.11357007,0.053029057,-0.12248612,0.06378136,-0.003769515,-0.078449234,-0.040039778,0.08917239,-0.10812095,0.008006319,-0.03223135,0.04339637,0.05160013,0.006887559,0.03273011,-0.10145563,0.0014758334,-0.110567816,-0.33346266,-0.24109598,-0.2761591,-0.20362684,0.07282218,-0.287609,0.11250387,-0.11395432,-0.13713603,-0.024938073,-0.055539183,-0.055874377,0.18970932,0.08391281,0.085829645,-0.338376,0.26336506,-0.1690507,0.13673133,0.07906169,-0.14082545,0.057862937,-0.12051564,-0.2051657,0.14928178,-0.031162364,-0.05104444
2022-09-03 04:00:00+00:00,0.21028037,-0.07752803,0.106740765,0.20076764,-0.1797305,-0.029929504,-0.08884093,-0.13927554,0.07938863,0.15341166,-0.23121136,0.1761602,-0.124375,0.06464252,-0.021034015,0.09106805,0.097253405,0.17720199,0.21218286,0.11377229,0.05242642,-0.12209825,0.064724304,-0.0036312733,-0.08006709,-0.03974849,0.08894688,-0.108158834,0.00813555,-0.032128394,0.042255275,0.051763624,0.0067732967,0.03262997,-0.101241186,0.0016115978,-0.109709226,-0.33431312,-0.2404245,-0.27506936,-0.20541814,0.07305977,-0.28711808,0.11182478,-0.11283645,-0.13650045,-0.024441708,-0.05661156,-0.056598052,0.1887373,0.08456901,0.085660666,-0.33703145,0.26260722,-0.16834053,0.13678609,0.07713349,-0.14033827,0.057757024,-0.12052791,-0.20559321,0.14880665,-0.032362357,-0.05148945
2022-09-03 05:00:00+00:00,0.21095559,-0.07715617,0.107544556,0.19925483,-0.18114349,-0.03089124,-0.08953817,-0.1390476,0.07999776,0.15022507,-0.23439056,0.17692065,-0.1251741,0.06605014,-0.021769417,0.09671683,0.10131506,0.1805889,0.21376118,0.11437303,0.052307867,-0.12346785,0.06471307,-0.0012004096,-0.082193166,-0.04365152,0.09003144,-0.10848772,0.007892225,-0.030718263,0.042815372,0.05016705,0.006418634,0.033024255,-0.10217911,0.00036385655,-0.112300985,-0.33755845,-0.2417822,-0.2779802,-0.20740388,0.07341479,-0.2870621,0.11080219,-0.11214112,-0.13454114,-0.023259718,-0.055326447,-0.059574515,0.19109148,0.084342584,0.08776733,-0.34013924,0.26504254,-0.16877384,0.13966165,0.07793932,-0.14161605,0.06010259,-0.122666165,-0.20781834,0.15037724,-0.032362275,-0.0508452
2022-09-03 06:00:00+00:00,0.21193822,-0.076097086,0.10791771,0.19756705,-0.1825271,-0.031761736,-0.09056696,-0.13910337,0.0811771,0.14630982,-0.23745638,0.17732747,-0.12626429,0.06782651,-0.023254855,0.1033517,0.10544663,0.18422812,0.21515806,0.11528075,0.052035715,-0.12509084,0.065086074,0.001672579,-0.08526673,-0.047899425,0.09095775,-0.108766615,0.0076820403,-0.028949417,0.042991646,0.048615377,0.0061591305,0.0337455,-0.1033568,-0.0012338385,-0.114713274,-0.34123087,-0.2430589,-0.2805117,-0.21023753,0.07368881,-0.28653926,0.10906662,-0.11098543,-0.13198039,-0.02137461,-0.054393865,-0.06350675,0.19327086,0.0841575,0.08985497,-0.3423092,0.2671762,-0.16888458,0.14296244,0.07779913,-0.14309165,0.06304438,-0.1250827,-0.21004055,0.15182123,-0.03282063,-0.050641604
2022-09-03 07:00:00+00:00,0.21312882,-0.07469658,0.1075909,0.1972917,-0.18282357,-0.032957017,-0.09135665,-0.13996607,0.08298841,0.14508429,-0.23873836,0.17756034,-0.12765993,0.06935975,-0.024081709,0.106461436,0.10685805,0.18627053,0.2155259,0.115952976,0.051691864,-0.1257419,0.06599378,0.0030852202,-0.087432474,-0.049777985,0.091627195,-0.10877658,0.0075091757,-0.028303519,0.042506773,0.048169862,0.006050855,0.03394703,-0.10373032,-0.001876168,-0.115059145,-0.34394884,-0.24345273,-0.28123945,-0.21258134,0.07394285,-0.28628844,0.108108535,-0.109852605,-0.13041742,-0.020141434,-0.05460506,-0.06561076,0.19390847,0.08450414,0.09109175,-0.34288514,0.26786494,-0.16919506,0.1445161,0.07654135,-0.14344142,0.06420821,-0.12624109,-0.21134539,0.15235221,-0.033857282,-0.051612236
2022-09-03 08:00:00+00:00,0.2155702,-0.07244672,0.10703059,0.19841482,-0.18276279,-0.034425303,-0.09181023,-0.14114094,0.085838184,0.14562382,-0.23916161,0.17828754,-0.1297898,0.070951685,-0.025055895,0.10722188,0.107370876,0.1877434,0.21546873,0.116776094,0.050918683,-0.12581226,0.06777338,0.0038828794,-0.08862072,-0.05102396,0.09173534,-0.10909474,0.007863186,-0.02811645,0.042149168,0.04781063,0.0056174584,0.034208246,-0.103733376,-0.0014674887,-0.11457688,-0.34578872,-0.2439918,-0.28193957,-0.21541826,0.0741439,-0.28631932,0.10801242,-0.10888455,-0.13041042,-0.020008054,-0.05561556,-0.06667383,0.19373918,0.08577639,0.09194873,-0.34325105,0.2678818,-0.16913256,0.14541999,0.075657934,-0.14307079,0.06454188,-0.12612884,-0.21321924,0.15283671,-0.035035137,-0.053112708
2022-09-03 09:00:00+00:00,0.21783297,-0.07028147,0.106373005,0.19981603,-0.1827766,-0.03576784,-0.09199418,-0.14214233,0.08848335,0.14655901,-0.2396025,0.17910999,-0.13177775,0.07232612,-0.026163036,0.10731334,0.10767179,0.1892932,0.21536103,0.11738971,0.050194103,-0.12561646,0.069491036,0.0043076184,-0.089595005,-0.051903307,0.091652736,-0.10948832,0.0082552545,-0.028025858,0.0418536,0.04752978,0.005112093,0.034240115,-0.10343588,-0.00070432574,-0.11425353,-0.3472643,-0.24441098,-0.28273672,-0.21811076,0.07433881,-0.28668416,0.108260795,-0.10816256,-0.13074242,-0.020340856,-0.056717925,-0.06727117,0.19341595,0.087060094,0.0924958,-0.3437948,0.26787627,-0.16890095,0.14601198,0.07518552,-0.14262757,0.06449267,-0.12576859,-0.21514781,0.15330556,-0.03601304,-0.054298542
